,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
2,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
3,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
4,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
5,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
6,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
7,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
10,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
11,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
12,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
13,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
15,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
16,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
17,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,"BREAKING: Former Vice President Joe Biden will win the Minnesota Democratic primary, CNN projects #CNNelection… https://t.co/MUeKpLiu8J",Wed Mar 04 03:34:39 +0000 2020,0.5859,0.202,0.798,0.0
21,CNN,"“Tonight, I tell you with absolute confidence we’re going to win the Democratic nomination, and we are going to def… https://t.co/83Fxj4ptmT",Wed Mar 04 03:25:26 +0000 2020,0.7964,0.283,0.717,0.0
22,CNN,"BREAKING: Former Vice President Joe Biden will win the Arkansas Democratic primary, CNN projects #CNNelection… https://t.co/chVMGqUwhD",Wed Mar 04 03:17:19 +0000 2020,0.5859,0.202,0.798,0.0
23,CNN,"BREAKING: Former Vice President Joe Biden will win the Oklahoma Democratic primary, CNN projects #CNNelection… https://t.co/33ii0eu5ln",Wed Mar 04 03:05:12 +0000 2020,0.5859,0.202,0.798,0.0
24,CNN,This woman is sending praise to a state trooper who went above and beyond the call of duty. She says she was having… https://t.co/3wob1DPExZ,Wed Mar 04 02:58:52 +0000 2020,0.5574,0.141,0.859,0.0
25,CNN,"RT @CNNPolitics: CNN's Jake Tapper explains why Joe Biden's strong showing ""makes it less clear"" who is going to be the Democratic nominee:…",Wed Mar 04 02:53:47 +0000 2020,0.6815,0.211,0.789,0.0
26,CNN,"Bernie Sanders will win the Colorado Democratic primary, CNN projects, his second victory tonight. #CNNelection 

F… https://t.co/mAV9cyBknv",Wed Mar 04 02:48:28 +0000 2020,0.5859,0.192,0.808,0.0
27,CNN,"Joe Biden grabbed huge early victories on Super Tuesday, winning the prized Virginia and North Carolina Democratic… https://t.co/9O3Mv1bGSw",Wed Mar 04 02:46:40 +0000 2020,0.9186,0.481,0.519,0.0
28,CNN,"BREAKING: Sen. Bernie Sanders will win the Colorado Democratic primary, CNN projects #CNNElection… https://t.co/1JFCqCykmW",Wed Mar 04 02:43:08 +0000 2020,0.5859,0.226,0.774,0.0
29,CNN,"BREAKING: Former Vice President Joe Biden will win the Tennessee Democratic primary, CNN projects #CNNElection… https://t.co/CVFLFu9fho",Wed Mar 04 02:40:07 +0000 2020,0.5859,0.202,0.798,0.0
30,CNN,"RT @CNNPolitics: CNN's Van Jones breaks down the generational divide among African American voters: ""It's very interesting because there's…",Wed Mar 04 02:39:12 +0000 2020,0.4576,0.143,0.857,0.0
31,CNN,"RT @CNNPolitics: Polls have closed in 12 of tonight's 14 Super Tuesday states.

Follow live results here: https://t.co/9UfaM66l5z #CNNelect…",Wed Mar 04 02:30:07 +0000 2020,0.5994,0.178,0.822,0.0
32,CNN,"One week ago, Iran had fewer than 100 confirmed coronavirus cases. On Tuesday, Iranian authorities said there were… https://t.co/nKVEaUXVCZ",Wed Mar 04 02:20:05 +0000 2020,0.0,0.0,1.0,0.0
33,CNN,Amazon is informing employees that one of its Seattle-based workers has been diagnosed with coronavirus https://t.co/wbBD9x9O4a,Wed Mar 04 02:11:36 +0000 2020,0.1779,0.102,0.898,0.0
34,CNN,"Google is canceling Google I/O, an annual developer conference and its biggest event of the year, because of concer… https://t.co/qoyHHfJ6hv",Wed Mar 04 01:57:49 +0000 2020,0.0,0.0,1.0,0.0
35,CNN,"Severe storms and at least one tornado slammed through central Tennessee, killing 25 people and wrecking hundreds o… https://t.co/EfRrFSDfRt",Wed Mar 04 01:56:26 +0000 2020,-0.7906,0.0,0.708,0.292
36,CNN,"The case against a Connecticut man accused of killing his wife effectively ended today, his lawyers told CNN. Fotis… https://t.co/cYs6xZmeWN",Wed Mar 04 01:49:47 +0000 2020,-0.5719,0.114,0.627,0.259
37,CNN,"RT @CNNPolitics: CNN's Van Jones reacts to Joe Biden's projected early victories: ""I think what's going on is this party is trying to find…",Wed Mar 04 01:37:29 +0000 2020,0.481,0.12,0.88,0.0
38,CNN,"An emergency rate cut from the Federal Reserve, the 10-year Treasury bond yield at historic lows — if you've been w… https://t.co/as3XgDHtju",Wed Mar 04 01:36:59 +0000 2020,-0.5719,0.071,0.672,0.257
39,CNN,"Rep. Tulsi Gabbard got her first delegate from American Samoa tonight.

The Hawaii representative, who was born in… https://t.co/dG3S1MXsAV",Wed Mar 04 01:25:23 +0000 2020,0.0,0.0,1.0,0.0
40,BBC News (World),"Joe Biden is projected to win Oklahoma, where 37 delegates are up for grabs 

Follow our live coverage:… https://t.co/NSSApD3KH2",Wed Mar 04 03:35:26 +0000 2020,0.5859,0.174,0.826,0.0
41,BBC News (World),"Joe Biden is projected to win Arkansas, where 31 delegates are up for grabs

Follow our live coverage:… https://t.co/G0NNai6CYW",Wed Mar 04 03:21:03 +0000 2020,0.5859,0.174,0.826,0.0
